简历ID,应聘岗位,所属部门,招聘渠道,简历投递时间,简历筛选结果,筛选完成时间,一面时间,一面面试官,一面结果,二面时间,二面面试官,二面结果,终面时间,终面面试官,终面结果,Offer发放时间,候选人期望薪资,Offer定薪,是否接受Offer,入职时间,是否到岗
RES00001,产品经理,产品部,BOSS直聘,2025-05-24,不通过,,,,,,,,,,,,,,,,否
RES00002,Java开发工程师,技术部,猎聘,2025-03-16,不通过,,,,,,,,,,,,,,,,否
RES00003,Java开发工程师,技术部,内部推荐,2024-06-28,不通过,,,,,,,,,,,,,,,,否
RES00004,财务会计,财务部,智联招聘,2024-05-12,不通过,,,,,,,,,,,,,,,,否
RES00005,销售代表,销售部,校园招聘,2025-01-24,不通过,,,,,,,,,,,,,,,,否
RES00006,Java开发工程师,技术部,BOSS直聘,2025-06-29,不通过,,,,,,,,,,,,,,,,否
RES00007,HRBP,人事部,BOSS直聘,2024-08-23,不通过,,,,,,,,,,,,,,,,否
RES00008,HRBP,人事部,BOSS直聘,2025-05-27,不通过,,,,,,,,,,,,,,,,否
RES00009,产品运营,运营部,BOSS直聘,2024-12-28,不通过,,,,,,,,,,,,,,,,否
RES00010,财务会计,财务部,BOSS直聘,2024-03-14,通过,2024-03-16,2024-03-22,唐玉华,通过,2024-03-25,王宁,不通过,,,,,,,,,否
RES00011,财务会计,财务部,校园招聘,2025-02-10,不通过,,,,,,,,,,,,,,,,否
RES00012,测试工程师,技术部,BOSS直聘,2024-02-13,不通过,,,,,,,,,,,,,,,,否
RES00013,客服主管,客服部,智联招聘,2025-03-22,通过,2025-03-24,2025-03-31,侯桂兰,候选人放弃,,,,,,,,,,,,否
RES00014,测试工程师,技术部,前程无忧,2024-01-20,通过,2024-01-25,2024-01-24,刘桂花,通过,2024-02-02,黄秀英,不通过,,,,,,,,,否
RES00015,Java开发工程师,技术部,校园招聘,2025-04-15,不通过,,,,,,,,,,,,,,,,否
RES00016,销售代表,销售部,猎头,2024-03-20,不通过,,,,,,,,,,,,,,,,否
RES00017,市场推广,市场部,内部推荐,2024-11-16,通过,2024-11-19,2024-11-25,方坤,通过,2024-11-24,黄鹏,通过,2024-12-05,李冬梅,通过,2024-12-08,29k,30104.0,是,2025-01-15,是
RES00018,产品经理,产品部,猎头,2025-03-15,通过,2025-03-16,2025-03-24,黎红,通过,2025-03-29,陈丽娟,不通过,,,,,,,,,否
RES00019,财务会计,财务部,内部推荐,2025-02-18,不通过,,,,,,,,,,,,,,,,否
RES00020,产品运营,运营部,猎头,2025-03-03,不通过,,,,,,,,,,,,,,,,否
RES00021,产品运营,运营部,猎聘,2024-10-23,不通过,,,,,,,,,,,,,,,,否
RES00022,测试工程师,技术部,BOSS直聘,2024-04-27,不通过,,,,,,,,,,,,,,,,否
RES00023,Java开发工程师,技术部,智联招聘,2025-02-18,通过,2025-02-20,2025-02-26,李文,通过,2025-03-03,郑莉,通过,2025-03-05,安秀珍,通过,2025-03-09,21k,22987.0,否,,否
RES00024,Java开发工程师,技术部,猎聘,2024-01-22,不通过,,,,,,,,,,,,,,,,否
RES00025,市场推广,市场部,智联招聘,2024-11-28,通过,2024-12-02,2024-12-05,莫飞,候选人放弃,,,,,,,,,,,,否
RES00026,前端开发工程师,技术部,BOSS直聘,2024-06-24,不通过,,,,,,,,,,,,,,,,否
RES00027,前端开发工程师,技术部,前程无忧,2025-04-16,不通过,,,,,,,,,,,,,,,,否
RES00028,Java开发工程师,技术部,校园招聘,2025-01-05,不通过,,,,,,,,,,,,,,,,否
RES00029,行政专员,人事部,BOSS直聘,2024-03-31,不通过,,,,,,,,,,,,,,,,否
RES00030,HRBP,人事部,内部推荐,2025-03-23,通过,2025-03-25,2025-03-30,李淑兰,通过,2025-04-01,孙峰,通过,2025-04-06,魏平,不通过,,,,,,否
RES00031,HRBP,人事部,猎聘,2024-04-18,不通过,,,,,,,,,,,,,,,,否
RES00032,市场推广,市场部,猎头,2024-09-06,通过,2024-09-09,2024-09-14,杜婷婷,通过,2024-09-19,赵敏,通过,2024-09-26,王建,通过,2024-09-25,21k,23186.0,是,2024-10-06,是
